gene_id;gene;old_locus_tag;product
PP_RS01770;;PP_0333;ATP-dependent zinc protease
PP_RS01775;;PP_0334;IS110 family transposase
PP_RS01780;;PP_0335;glutathione S-transferase
PP_RS01785;msrA;PP_0336;peptide-methionine (S)-S-oxide reductase MsrA
PP_RS01790;;PP_0337;EAL domain-containing protein
PP_RS01795;aceF;PP_0338;dihydrolipoyllysine-residue acetyltransferase
PP_RS01800;aceE;PP_0339;pyruvate dehydrogenase (acetyl-transferring), homodimeric type
PP_RS01805;glnE;PP_0340;bifunctional [glutamate--ammonia ligase]-adenylyl-L-tyrosine phosphorylase/[glutamate--ammonia-ligase] adenylyltransferase
PP_RS01810;waaF;PP_0341;lipopolysaccharide heptosyltransferase II
PP_RS01815;waaC;PP_0342;lipopolysaccharide heptosyltransferase I
PP_RS01820;;PP_0343;glycosyltransferase family 4 protein
PP_RS01825;rfaP;PP_0344;lipopolysaccharide core heptose(I) kinase RfaP
PP_RS01830;;PP_0345;LPS kinase
PP_RS01835;;PP_0346;LPS kinase
PP_RS01840;;PP_0347;LPS kinase
PP_RS01845;;PP_0348;hypothetical protein
PP_RS01850;;PP_5443;hypothetical protein
PP_RS01855;;PP_0349;PepSY domain-containing protein
PP_RS01860;;PP_0350;TonB-dependent siderophore receptor
PP_RS01865;;PP_0351;FecR family protein
PP_RS01870;;PP_0352;RNA polymerase sigma factor
PP_RS01875;;PP_0353;3'-5' exonuclease
PP_RS01880;;PP_0354;DUF294 nucleotidyltransferase-like domain-containing protein
PP_RS01885;;PP_0355;response regulator
PP_RS01890;;PP_0356;malate synthase G
PP_RS01895;;PP_0357;glycine cleavage system protein R
PP_RS01900;rarD;PP_0358;EamA family transporter RarD
PP_RS01905;;PP_0359;serine/threonine protein kinase
PP_RS01910;;PP_0360;TOBE domain-containing protein
PP_RS01915;;PP_0361;ComF family protein
PP_RS01920;bioB;PP_0362;biotin synthase BioB
PP_RS01925;bioF;PP_0363;8-amino-7-oxononanoate synthase
PP_RS01930;;PP_0364;alpha/beta fold hydrolase
PP_RS01935;bioC;PP_0365;malonyl-ACP O-methyltransferase BioC
